Course,Section,L,Course Name,Enrolled,Credits,Days,Times,Rooms,Instructor
MERC-4995,2,#,INTERNADO EN MERCADEO,6,0, , , ,Karen Cotto Quijano 
SICI-3029,76,,FUNDAMENTOS DE PROGRAMACION PARA NEGOCIOS,22,3,MJ,1:00 pm - 2:50 pm,AE-106,Jose Cruz 
SICI-3029,80,,FUNDAMENTOS DE PROGRAMACION PARA NEGOCIOS,28,3,LW,2:00 pm - 3:50 pm,AE-106,Jose Cruz 
SICI-3029,100,,FUNDAMENTOS DE PROGRAMACION PARA NEGOCIOS,22,3,LW,4:00 pm - 5:50 pm,AE-106,Jose Cruz 
SICI-3058,100,,PROGRAMACION EN LENGUAJE C,25,3,LW,4:00 pm - 5:15 pm,AE-104,Jose Martinez Martinez 
SICI-4089,106,,COMUNICACION DE DATOS Y REDES,28,3,MJ,4:30 pm - 5:45 pm,AE-106,Wanda Negron Rios 
SICI-4095,26,,DESARROLLO DE BASE DE DATOS,27,3,MJ,8:30 am - 9:45 am,AE-105,Maria Larracuente Martinez 
SICI-4095,66,,DESARROLLO DE BASE DE DATOS,26,3,MJ,12:00 pm - 1:15 pm,AE-105,Maria Larracuente Martinez 
SICI-4144,96,,LENGUAJES DE PROGRAMACION DE NEGOCIOS,20,3,MJ,3:00 pm - 4:15 pm,AE-106,Jose Cruz 
SICI-4995,1,#,INTERNADO EN SISTEMAS DE INFORMACION COMPUTADORIZADOS,6,0, , , ,Karen Cotto Quijano 
SICI-4995,2,#,INTERNADO EN SISTEMAS DE INFORMACION COMPUTADORIZADOS,6,0, , , ,Karen Cotto Quijano 
ESMA-3101,26,,ESTADISTICA APLICADA I,27,3,MJ,8:30 am - 9:45 am,AE-104,Tokuji Saito 
ESMA-4038,16,,METODOS DE MUESTREO,15,3,MJ,7:00 am - 8:15 am,AE-304,Tokuji Saito 
ESPA-3215,50,,EXPRESION Y COMUNICACION,30,3,LWV,11:00 am - 11:50 am,AE-235,Victor Rivera 
ESPA-3215,60,,EXPRESION Y COMUNICACION,30,3,LWV,12:00 pm - 12:50 pm,AE-235,Victor Rivera 
ESPA-3215,70,,EXPRESION Y COMUNICACION,30,3,LWV,1:00 pm - 1:50 pm,AE-235,Victor Rivera 
ESPA-3215,90,,EXPRESION Y COMUNICACION,30,3,LWV,3:00 pm - 3:50 pm,AE-235,Victor Rivera 
HUMA-3111,76,,INTRODUCCION A LA CULTURA DE OCCIDENTE I,19,3,MJ,1:30 pm - 2:45 pm,AE-234,Rosa Pla Cortes 
HUMA-3111,77,,INTRODUCCION A LA CULTURA DE OCCIDENTE I,10,3,MJ,1:30 pm - 2:45 pm,AE-234,Rosa Pla Cortes 
HUMA-3111,98,,INTRODUCCION A LA CULTURA DE OCCIDENTE I,20,3,MJ,3:00 pm - 4:15 pm,AE-235,Rosa Pla Cortes 
HUMA-3111,99,,INTRODUCCION A LA CULTURA DE OCCIDENTE I,10,3,MJ,3:00 pm - 4:15 pm,AE-235,Rosa Pla Cortes 
HUMA-3111,101,,INTRODUCCION A LA CULTURA DE OCCIDENTE I,20,3,W,4:00 pm - 6:50 pm,AE-235,Rosa Pla Cortes 
HUMA-3111,102,,INTRODUCCION A LA CULTURA DE OCCIDENTE I,10,3,W,4:00 pm - 6:50 pm,AE-235,Rosa Pla Cortes 
HUMA-3111,106,,INTRODUCCION A LA CULTURA DE OCCIDENTE I,31,3,MJ,4:30 pm - 5:45 pm,AE-235,Rosa Pla Cortes 
MATE-3000,50,,MATEMATICAS FINITAS,15,3,LWV,11:00 am - 11:50 am,AE-304,RUTH           LOPEZ           FAJARDO 
MATE-3048,96,,ANALISIS MATEMATICO,34,4,MJ,3:00 pm - 4:15 pm,AE-304,Paul Castillo 
MATE-3049,66,,ANALISIS MATEMATICO PARA CIENCIAS GERENCIALES,34,3,MJ,12:00 pm - 1:15 pm,AE-304,Tokuji Saito 
MATE-3049,76,,ANALISIS MATEMATICO PARA CIENCIAS GERENCIALES,34,3,MJ,1:30 pm - 2:45 pm,AE-304,Tokuji Saito 
MATE-3086,100,,RAZONAMIENTO MATEMATICO,30,3,LW,4:00 pm - 5:15 pm,AE-304,LESBIA         LOPEZ           LIMAS 
MATE-4009,41,,ECUACIONES DIFERENCIALES ORDINARIAS,34,3,LWV,10:00 am - 10:50 am,AE-304,Alexander Urintsev 
MATE-4009,71,,ECUACIONES DIFERENCIALES ORDINARIAS,34,3,LWV,1:00 pm - 1:50 pm,AE-304,Alexander Urintsev 
MATE-4009,80,,ECUACIONES DIFERENCIALES ORDINARIAS,34,3,LWV,2:00 pm - 2:50 pm,AE-304,Alexander Urintsev 
MATE-4061,50,,ANALISIS NUMERICO I,20,3,LWV,11:00 am - 11:50 am,AE-104,Alexander Urintsev 
MATE-6025,26,,ALGEBRA LINEAL NUMERICA,15,3,MJ,8:30 am - 9:45 am,AE-304,Paul Castillo 
UNIV-3,96,,DESTREZAS EXITO UNIVERSITA,30,0,MJ,3:00 pm - 4:15 pm,AE-407,Magaly Mercado Nazario 
